name,url,title,summary,images,infobox_data.Coordinates,infobox_data.Type,infobox_data.Height,infobox_data.Owner,infobox_data.Controlled by,infobox_data.Open tothe public,infobox_data.Condition,infobox_data.Materials,infobox_data.Demolished,infobox_data.Battles/wars,infobox_data.Pastcommanders,infobox_data.Occupants,infobox_data.Built,infobox_data.Built by,infobox_data.In use,infobox_data.Location,infobox_data.Elevation,infobox_data.Construction started,infobox_data.Completed,infobox_data.Destroyed,infobox_data.Architect(s),infobox_data.Country,infobox_data.Address,infobox_data.Town or city,infobox_data.Construction stopped,infobox_data.Current tenants,infobox_data.Client,infobox_data.Grade,infobox_data.English translation,infobox_data.Language of name,infobox_data.Parent range,infobox_data.Mountain type,infobox_data.Architectural style,infobox_data.Structural system,infobox_data.State,infobox_data.District,infobox_data.• Body,infobox_data.• Total,infobox_data.• Official,infobox_data.Time zone,infobox_data.ISO 3166 code,infobox_data.Vehicle registration,infobox_data.Website,infobox_data.Architect,infobox_data.Garrison,infobox_data.Currentcommander,infobox_data.Easiest route
Patta Fort,https://en.wikipedia.org/wiki/Patta_Fort,Patta Fort,"Patta Fort, or Patta Killa, also known as Vishramgad ( Marathi: पट्टा किल्ला ), is a fort situated between Nasik and Ahmadnagar in Maharashtra, India. The Indian ruler Shivaji I once visited and rested there. The residents of Patta Killa are known as Pattekar, meaning ""residents of Fort Patta"". Patta Fort stands approximately 1,392 metres (4,567 ft)  above sea level.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°42′26.2″N 73°50′10.6″E﻿ / ﻿19.707278°N 73.836278°E﻿ / 19.707278; 73.836278,Hill fort,4562 Ft.,Government of India,,Yes,Good condition,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raigad Fort,https://en.wikipedia.org/wiki/Raigad_Fort,Raigad Fort,"Raigad, situated in the Raigad district of Maharashtra, India, is a hill fort located in the town of Mahad. It is one of the strongest fortresses on the Deccan Plateau and was historically referred to as Rairee or Rairy fort.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°14′01″N 73°26′26″E﻿ / ﻿18.2335°N 73.4406°E﻿ / 18.2335; 73.4406,Hill fort,"1,356 metres (4,400 ft) ASL","Shirke kingdom (before 1656)
Maratha Kingdom (1656–1689; 1739–1818)
Mughal Empire (1689–1739)
East India Company (1818–1858)
Government of India",,Yes,,"Stone, Lead",,,Chatrapati ShivajiSambhaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardar Hiroji Indalkar,,,
Rajgad Fort,https://en.wikipedia.org/wiki/Rajgad_Fort,Rajgad Fort,"Rajgad (literal meaning ruling fort) is a Hill region fort situated in the Pune district of Maharashtra, India. Formerly known as Murumbdev, the fort was the first capital of the Maratha Empire under the rule of Chhatrapati Shivaji for almost 26 years, after which the capital was moved to the Raigad Fort.[1] Treasures discovered from an adjacent fort called Torna were used to completely build and fortify the Rajgad Fort.[citation needed]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°14′46″N 73°40′56″E﻿ / ﻿18.2459862°N 73.6821929°E﻿ / 18.2459862; 73.6821929,Hill fort,1376 m,"Maratha Empire (1656–1689; 1707–1818)
Mughal Empire (1689–1707)
East India Company (1818–1858)
British Empire (1858–1947)
Government of India (1947–present)",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chhatrapati Shivaji Maharaj,,,
Rangana Fort,https://en.wikipedia.org/wiki/Rangana_Fort,Rangana Fort,"Rangana Fort/ Prasiddhagad (Marathi: रांगणा  किल्ला) is located in the Bhudargad taluka of Kolhapur district. This fort is one of the important forts in the district. This fort is located on the Sahyadri mountain ridge, on the boundary of Sindhudurg and kolhapur district[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",16°04′39″N 73°51′03″E﻿ / ﻿16.07750°N 73.85083°E﻿ / 16.07750; 73.85083,Hill fort,"2,227 ft (679 m)",Government of India,,Yes,Ruins,Laterite Stone,,,,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,
Ravlya Fort,https://en.wikipedia.org/wiki/Ravlya_Fort,Ravlya Fort,"Ravalya Fort  (Marathi: रवळ्या किल्ला, Hindi: रवल्या किला, transliteration: Ravalya Qilа̄)is located 43 km from Nashik, Nashik district, of Maharashtra. The Ravlya fort and Javlya fort are twin forts located on a single hill plateau. Ravlya on the west and the Javlya on the east side of the hill plateau.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°22′19.5″N 73°58′14.1″E﻿ / ﻿20.372083°N 73.970583°E﻿ / 20.372083; 73.970583,Hill fort,4369 Ft.,government of India,"Mughal Empire(1636-1670) Maratha Confederacy (1670-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1859-1947)
 India (1947-)",yes,in ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riwa Fort,https://en.wikipedia.org/wiki/Riwa_Fort,Riwa Fort,"The Riwa Fort (also  Fort), locally known as Kala Qilla or Black Fort, is a fort in central Mumbai (Bombay), India on the banks of the Mithi River. The fort is currently in a dilapidated condition amidst the Dharavi slums. It was built by the Mughal governor of Bombay, Yakut Khan. It was part of the larger Bombay Castle, and marked the northern portion of Mughal-held Bombay in the 17th century. The castle was also used as a watchtower, guarding the territory against the Portuguese-held Salsette Island. The Riwa Fort was later captured by the Marathas.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewri Fort,https://en.wikipedia.org/wiki/Sewri_Fort,Sewri Fort,"The Sewri Fort (also spelled Sewree Fort) (Marathi: शिवडी किल्ला) is a fort in Mumbai built by the British at Sewri. Built in 1680, fort served as a watch tower, atop a quarried hill overlooking the Mumbai harbour.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°00′02″N 72°51′37″E﻿ / ﻿19.000635°N 72.860363°E﻿ / 19.000635; 72.860363,Fort,,"Department of Archaeology and Museums, Government of Maharashtra",,,,,,,,,,,,"Sewree, Mumbai",60 m (197 ft),,1680,,,,,,,,British,,,,,,,,,,,,,,,,,,,,
Shirgaon Fort,https://en.wikipedia.org/wiki/Shirgaon_Fort,Shirgaon Fort,"Shirgaon Fort  / Shirgao Fort (Marathi: शिरगाव  किल्ला) is a fort located 6.5km from Palghar, in Palghar district, of Maharashtra. This fort is in very good condition. The outer walls, steps, parapets, bastions etc. in solid masonry are in excellent order and worth seeing. The fort is located in the Shirgaon village.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°41′46.2″N 72°42′48.6″E﻿ / ﻿19.696167°N 72.713500°E﻿ / 19.696167; 72.713500,Sea Fort,at MSL,Government of India,"Ahmadnagar (1521-1594) Portugal (1594) Maratha Confederacy (1739-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Black Basalt Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrivardhan Fort,https://en.wikipedia.org/wiki/Shrivardhan_Fort,Shrivardhan Fort,"Shrivardhan Fort is one of the two hill forts that constitute the Rajmachi fortification, the other being Manaranjan Fort.[1] It is located in Rajmachi village which 8.5 km from Lonavala in the Sahyadris mountain range. At 900 m(3000 feet) above sea level it was the taller of the two peaks and was named after Shrivardhan Ganpatrao Patwardhan. Other than a rampart there is no visible construction. It was probably used at a watchtower for the Sahyadri region. There are two water tanks at the top of the hill but one of them has an iron pillar in it.[2]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°49′37.8″N 73°24′00″E﻿ / ﻿18.827167°N 73.40000°E﻿ / 18.827167; 73.40000,Hill fort,3600 Ft.,Government of India,"Maratha Confederacy (1739–1818) United Kingdom
 East India Company (1818–1857)
 British Raj (1857–1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhudurg Fort,https://en.wikipedia.org/wiki/Sindhudurg_Fort,Sindhudurg Fort,"Sindhudurg Fort (Marathi pronunciation: [sin̪d̪ʱud̪uɾɡ]) is a historical sea fort located in Arabian Sea near the Konkan region of Maharashtra in Western India.[1] The fort, commissioned by Chhatrapati Shivaji, was constructed between 1664 and 1667.[2] The fort lies off the shore of Malvan taluka of the Sindhudurg District in the Konkan region of Maharashtra, 450 kilometres (280 mi) south of Mumbai.[3] It is a protected monument under the Archaeological Survey of India.[4][5]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",16°02′38″N 73°27′41″E﻿ / ﻿16.043769°N 73.461416°E﻿ / 16.043769; 73.461416,Island,,Government of India,Maratha Empire Government of India (1947-present),Yes,,,,,,,1664 (1664),Hiroji Indulkar (Chief Architect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sion Hillock Fort,https://en.wikipedia.org/wiki/Sion_Hillock_Fort,Sion Hillock Fort,"The Sion Hillock Fort is a fort in Mumbai (Bombay), India. It was built under the regime of the English East India Company, between 1669 and 1677, atop a conical hillock when Gerard Aungier was the Governor of Bombay. It was notified in 1925 as a Grade I Heritage structure.[1] When it was built, the fort marked the boundary between British-held Parel island and the Portuguese held Salsette Island that lay to the north across the creek.[2]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sitabuldi Fort,https://en.wikipedia.org/wiki/Sitabuldi_Fort,Sitabuldi Fort,"Sitabuldi Fort (Marathi: सीताबर्डी किल्ला), site of the Battle of Sitabuldi in 1817, is located atop a hillock in central Nagpur, in the Indian state of Maharashtra. The fort was built by the British after they won this area. Mudhoji II Senasaheb Subha was allowed to continue ruling Nagpur after the British had won the battles of Sitaburdi, Sakkardara, and Nagpur. Richard Jenkins entered into a treaty with Mudhoji on 6 January 1818, which was later ratified by the Governor General. Article 7 of the treaty stated: ""The two hills of Seetabuldee with the bazaars and land adjoining, to a distance to be hereafter specified, shall be henceforth included in the British boundary, and such Military works erected as may be deemed necessary."" By this treaty, the British occupied the Sitaburdi hills and large areas on all four sides. However no major construction work was erected on it for next two years.[1] The area surrounding the hillock, now known as Sitabuldi, is an important commercial hub for Nagpur.[2] To the south is Nagpur Railway Station and behind it is Tekdi Ganapati, a temple of Ganesha.[3] The fort was a home to the Indian Army's 118th infantry battalion (Territorial Army) Grenadiers till 2019.[4][5]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",21°8′54″N 79°5′6″E﻿ / ﻿21.14833°N 79.08500°E﻿ / 21.14833; 79.08500,Land fort,,Army of  India,,"26 January, 1 May (Maharashtra Day), and 15 August",,Sandstone & Black Basalt,,Battle of Sitabuldi,,,,British East Company (started construction),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian Army's 118th infantry battalion,,
Terekhol Fort,https://en.wikipedia.org/wiki/Terekhol_Fort,Fort Tiracol,"Fort Santíssima Trindade[2] (Fortaleza da Santíssima Trindade in Portuguese) also known as Fort Tiracol, is a Portuguese era fort near the village of Tiracol, in the North Goa district of Goa, India. At the mouth of the Terekhol River, the fort can be reached by a ferry from Querim, 42 km (26 mi) north of Panaji.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,Fort and Church,,,Government of Goa,Yes,Restored as a luxury hotel.  Church still in use.,Granite Stones and lime mortar,n/a,4,,Staff and Parishioners,17th century,Raja of Sawantwadi  Viceroy Pedro Miguel de Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,none,
Torna Fort,https://en.wikipedia.org/wiki/Torna_Fort,Torna Fort,"Torna Fort, also known as Prachandagad, is a large fort located in Pune district, in the Indian state of Maharashtra. It is historically significant because it was the first fort captured by Shivaji I in 1646, at the age of 16. The hill has an elevation of 1,403 metres (4,603 ft) above sea level, making it the highest hill-fort in the district. The name derives from Prachanda (Marathi for huge or massive) and gad (Marathi for fort).[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°16′33.86″N 73°37′21.78″E﻿ / ﻿18.2760722°N 73.6227167°E﻿ / 18.2760722; 73.6227167,,,,,,,,,,,,,,,"Pune district, Maharashtra, India","1,403 m (4,603 ft)",,,,,,,,,,,,तोरणा गड,Marathi,Sahyadri Range,,,,,,,,,,,,,,,,
Tung Fort,https://en.wikipedia.org/wiki/Tung_Fort,Tung Fort,"Tung Fort (Marathi: तुंग किल्ला/कठिणगड) (or Kathingad; difficult fort in Marathi) is a hill fort in Pune District, India.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°39′37″N 73°27′47″E﻿ / ﻿18.660273°N 73.463142°E﻿ / 18.660273; 73.463142,,,,,,,,,,,,,,,"Maharashtra, India","1,075 m (3,527 ft)",,,,,,,,,,,,Difficult Fort,Marathi,Western Ghats,,,,,,,,,,,,,,,,Hike
Udgir Fort,https://en.wikipedia.org/wiki/Udgir_Fort,Udgir Fort,"Udgir Fort in the Udgir city in Latur district, Maharashtra of India is a fort built in pre-Bahamani age, dating from the twelfth century CE. It is famous for the historic Battle of Udgir of 1760, in which the Marathas, led by Sadashivrao Bhau, defeated the Nizam, and after which the Treaty of Udgir was signed. The fort is named after the Hindu Saint Udaygiri Rishi.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°24′10″N 77°07′04″E﻿ / ﻿18.4028°N 77.1178°E﻿ / 18.4028; 77.1178,Fort,"2,100 metres (6,900 ft)",Government of Maharashtra,Government of Maharashtra,Yes,Ruins,,,Battle of Udgir (1760),,,12th Century,Bahmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sadashivrao Bhau,
Vairagad Fort,https://en.wikipedia.org/wiki/Vairagad_Fort,Vairagad Fort,"Vairagad is a small fort situated in the Gadchiroli district of Maharashtra, India, at the confluence of rivers Khobragadhi and Satnalas. The small dusty village of same name is adjacent to the fort. The fort is situated 180 km from Nagpur and 80 km from Chandrapur.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°25′56.8″N 80°05′30.1″E﻿ / ﻿20.432444°N 80.091694°E﻿ / 20.432444; 80.091694,normal fort,0,Government of India,,Yes,Ruins,Laterite Stone,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vairatgad Fort,https://en.wikipedia.org/wiki/Vairatgad_Fort,Vairatgad Fort,"Vairatgad fort is a fort situated near to the town of Wai vyajwadi in Maharashtra, India.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°52′41″N 73°55′04″E﻿ / ﻿17.878073°N 73.917893°E﻿ / 17.878073; 73.917893,,1018m(3340 ft),Government of India,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vandan Fort,https://en.wikipedia.org/wiki/Vandan_Fort,Vandan Fort,"Vandan Fort (Marathi: वंदन किल्ला) is located in Satara District. This fort is situated on a hilly spur from the main ridge of Sahyadri. This fort is frequently visited by trekkers and pilgrims. The villages at the base are rich in sugarcane and other cultivation. The Chandan and Vandan are adjacent forts. The trek to both the fort can easily be completed in a day.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°50′20.7″N 74°02′05.3″E﻿ / ﻿17.839083°N 74.034806°E﻿ / 17.839083; 74.034806,,,,,,,,,,,,,,,"Maharashtra, India","3,800 ft (1,200 m)",,,,,,,,,,,,,,Western Ghats,,,,,,,,,,,,,,,,Hike
Vardhangad Fort,https://en.wikipedia.org/wiki/Vardhangad_Fort,Vardhangad Fort,"Vardhangad  Fort {वर्धनगड} (Khatav T; 17° 40' N, 74° 15' E; RS. Koregaon, 9 m. W; p. 1,686) lies on the Bhadle-Kundla spur of the Mahadev range at a point of it on the boundary between the Koregaon and Khatav Talukas, seven miles north-east of Koregaon and nine miles north-east of Satara.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°43′33″N 74°15′47″E﻿ / ﻿17.7258782°N 74.2631901°E﻿ / 17.7258782; 74.2631901,,457m (1500 ft),Government of India,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasai Fort,https://en.wikipedia.org/wiki/Vasai_Fort,Fort Vasai," East India Company (1818-1857)
 British Raj (1857-1947)
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°19′50.4″N 72°48′50.8″E﻿ / ﻿19.330667°N 72.814111°E﻿ / 19.330667; 72.814111,Seaside fort,,Government of India,"Yadava dynasty (-1432) Gujarat Sultanate (1432-1533) Portugal (1534-1739) Maratha Confederacy (1739-1818)
 East India Company (1818-1857)
 British Raj (1857-1947)

 India (1947-) Archaeological Survey Of India",Yes,Ruins,Stone,,Battle of Bassein,,,1184,Yadavas of Devagiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassein Fort,https://en.wikipedia.org/wiki/Bassein_Fort,Fort Vasai," East India Company (1818-1857)
 British Raj (1857-1947)
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°19′50.4″N 72°48′50.8″E﻿ / ﻿19.330667°N 72.814111°E﻿ / 19.330667; 72.814111,Seaside fort,,Government of India,"Yadava dynasty (-1432) Gujarat Sultanate (1432-1533) Portugal (1534-1739) Maratha Confederacy (1739-1818)
 East India Company (1818-1857)
 British Raj (1857-1947)

 India (1947-) Archaeological Survey Of India",Yes,Ruins,Stone,,Battle of Bassein,,,1184,Yadavas of Devagiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasota Fort,https://en.wikipedia.org/wiki/Vasota_Fort,Vasota Fort,"Vasota Fort (also called Vyaghragad (व्याघ्रगड)) is located in Satara district in the Indian state of Maharashtra.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°39′47.9″N 73°41′48.9″E﻿ / ﻿17.663306°N 73.696917°E﻿ / 17.663306; 73.696917,,3814 feet,Government of India,,Yes,,Stone,,,,,Bhoj Raja of Panhala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijaydurg Fort,https://en.wikipedia.org/wiki/Vijaydurg_Fort,Vijaydurg Fort,"Vijaydurg (sometimes written as Viziadurg), the oldest fort on the Sindhudurg coast, was constructed during the regime of Raja Bhoja II of the Shilahar dynasty (construction period 1193-1205) and restructured by Shivaji.[1][2][3]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",16°33′39″N 73°20′00″E﻿ / ﻿16.5607°N 73.3334°E﻿ / 16.5607; 73.3334,Sea fort,,,,Yes,,"Stone, Mortar",,,,,1193 (1193),Bhoja II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijaygad Fort,https://en.wikipedia.org/wiki/Vijaygad_Fort,Vijaygad Fort,"Vijaygad Fort  /  (Marathi: विजयगड किल्ला) is a fort located 60 km from Chiplun, in Ratnagiri district, of Maharashtra. This fort is located north of the Jaigad Fort on the northern bank of shastri river creek.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°18′14.8″N 73°14′26.5″E﻿ / ﻿17.304111°N 73.240694°E﻿ / 17.304111; 73.240694,Sea Fort,MSL.,Government of India,,Yes,Ruins,Laterite Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visapur Fort,https://en.wikipedia.org/wiki/Visapur_Fort,Visapur Fort,"Visapur Fort (also called Visapoor Fort) is a hill fort near Visapur village in Maharashtra, India. It is a part of the Lohagad-Visapur fortification.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°43′21″N 73°29′24″E﻿ / ﻿18.72250°N 73.49000°E﻿ / 18.72250; 73.49000,Hill fort,"1,084 m (3,556 ft) ASL",Government of India,"Maratha Confederacy (c. 1720-1818) United Kingdom
 East India Company (1818-1857)
 India (1857-1947)
 India (1947-)",Yes,Ruins,Stone,1818,,Balaji Vishwanath,,1713-1720 CE,Balaji Vishwanath,1713-1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worli Fort,https://en.wikipedia.org/wiki/Worli_Fort,Worli Fort,"The Worli Fort is a fort in Worli, Mumbai, India.[1] Though often incorrectly assumed to have been built by the Portuguese, the fort was built by the British around 1675 on Worli Hill. Worli Fort overlooked Mahim Bay at a  time when the city comprised just seven islands and was used as a lookout for enemy ships. 
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°01′26″N 72°49′00″E﻿ / ﻿19.0238°N 72.8166°E﻿ / 19.0238; 72.8166,,,Government of India,British Raj (1675-1947),Yes,,,,,,,1675 (1675),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashwantgad Fort,https://en.wikipedia.org/wiki/Yashwantgad_Fort,Yashwantgad Fort,"Yashwantgad Fort is located in Redi, Maharashtra, near the Maharashtra-Goa border. It is located on a small hill North of Jaitapur creek. It is a tree-entangled ruin that looks out over the beaches of the south Maharashtra coast.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",15°45′10.3″N 73°39′55.7″E﻿ / ﻿15.752861°N 73.665472°E﻿ / 15.752861; 73.665472,Sea fort,150 Ft.,India,"Bijapur (-1548) Portugal (1746-1754) Maratha Confederacy (1713-1765) United Kingdom
 East India Company (1765-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Black Basalt Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Forts""",https://web.archive.org/web/20201031111041/https://www.maharashtratourism.gov.in/treasures/forts,"""Forts""","
            Log in with your MTDC account","['/web/20201031111041im_/https://www.maharashtratourism.gov.in/Includes/images/youtube.png', '/web/20201031111041im_/https://www.maharashtratourism.gov.in/Includes/images/instag.png', '/web/20201031111041im_/https://www.maharashtratourism.gov.in/Includes/images/twitter.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forts in Maharashtra,https://en.wikipedia.org/wiki/Category:Forts_in_Maharashtra,Category:Forts in Maharashtra,"Download coordinates as:
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
